Machine,IP,OS,Reg_Date,Vendor,Model,Serial,Tag,Warranty_Expiration,Warranty_Extension,Ship_Date,CPU,Disk,RAM,NIC,UUID,Building,Room,Rack,Size,Function,Level,Priority,Service,Department,Contact,Authorized_Requesters,Solutionary,Backup,Chef_Org,Hosting_Type
gps-clac-tst.oit.umn.edu,134.84.212.121,rhel-x86_64-server-7,2016-09-01,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 0e 97 39 85 d0 95-5a 64 cb 76 b7 c3 76 f4,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,50G,993,NA,42230e973985d0955a64cb76b7c376f4,WBOB,VM,VM,VM,Drupal 7 web server,Test,3,Hosting,GPS,dkeller@umn.edu gpstech@umn.edu,devers@umn.edu dkeller@umn.edu mwinters@umn.edu,No,Yes,NA,NA
gps-egypt.oit.umn.edu,134.84.192.150,rhel-x86_64-server-6,2014-09-05,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 a1 9f 9f 2b 0b 55-e2 00 46 34 a2 54 a2 dc,NA,NA,NA,NA,Intel(R) Xeon(R) CPU           X6550  @ 2.00GHz,84G,5973,eth0-00:50:56:a3:53:c9-134.84.192.150,4223a19f9f2b0b55e2004634a254a2dc,WBOB,VM,VM,VM,GPS Alliance web sites,Production,NA,Hosting,GPS,arno1246 mwinters devers,mwinters devers dkeller,Yes,Yes,NA,NA
gps-gomn-dev.oit.umn.edu,128.101.122.96,rhel-x86_64-server-7,2017-02-21,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 bf 8e b7 80 a9 fc-5b 8a 66 ac b0 12 5f c4,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,50G,985,NA,4223bf8eb780a9fc5b8a66acb0125fc4,WBOB,VM,VM,VM,Drupal web server,Development,3,Hosting,GPS,dkeller@umn.edu,dkeller devers,No,No,oit-hosting,Jointly Managed
gps-gomn-prd.oit.umn.edu,128.101.122.98,rhel-x86_64-server-7,2017-02-24,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 b2 5a 7d 98 eb 1a-f2 27 bc e2 b1 09 c6 dc,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,50G,985,NA,4223b25a7d98eb1af227bce2b109c6dc,WBOB,VM,VM,VM,Drupal web server,Production,3,Hosting,GPS,dkeller@umn.edu,dkeller devers,No,No,oit-hosting,Jointly Managed
gps-gomn-tst.oit.umn.edu,128.101.122.97,rhel-x86_64-server-7,2017-02-23,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 32 21 92 0d 82 04-30 ef 30 2f 1b 75 05 63,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,50G,985,NA,42233221920d820430ef302f1b750563,WBOB,VM,VM,VM,Drupal web server,Test,3,Hosting,GPS,dkeller@umn.edu,dkeller devers,No,No,oit-hosting,Jointly Managed
gps-heibo-prd.oit.umn.edu,128.101.122.14,rhel-x86_64-server-7,2016-10-03,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 ab 86 d0 7e a9 19-b5 cf 10 bf 95 f2 a7 dd,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,50G,985,NA,4223ab86d07ea919b5cf10bf95f2a7dd,WBOB,VM,VM,VM,Wordpress site,Production,1,Hosting,GPS,dkeller@umn.edu,dkeller@umn.edu devers@umn.edu,No,Yes,NA,Jointly Managed
gps-joint-web-dev.oit.umn.edu,128.101.122.26,rhel-x86_64-server-7,2016-11-03,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 8e df 1f 87 ca 59-e0 6f fd 3e 1e 67 4e c5,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,50G,985,NA,42238edf1f87ca59e06ffd3e1e674ec5,WBOB,VM,VM,VM,jointly managed server test,Development,2,Hosting,GPS,dkeller@umn.edu gpstech@umn.edu,dkeller@umn.edu devers@umn.edu,No,Yes,NA,NA
gps-lac1.oit.umn.edu,128.101.2.217,rhel-x86_64-server-6,2016-04-05,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 20 66 f8 47 e3 ba-60 f1 24 02 83 cf 4b 1d,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,60G,1990,eth0-00:50:56:a3:32:de-128.101.2.217,42232066f847e3ba60f1240283cf4b1d,WBOB,VM,VM,VM,Web Server,Production,NA,Hosting,GPS Alliance,gps-tech@umn.edu dkeller@umn.edu,dkeller mwinters,Yes,Yes,NA,NA
gps-lacatlas-prd.oit.umn.edu,128.101.122.110,rhel-x86_64-server-7,2017-03-23,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 b0 06 be 7a 13 29-37 d0 eb fb 87 dc 31 e0,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,50G,984,NA,4223b006be7a132937d0ebfb87dc31e0,WBOB,VM,VM,VM,drupal site,Test,3,Hosting,GPS,dkeller@umn.edu,dkeller mwinters,No,No,oit-hosting,Jointly Managed
gps-lacatlas-tst.oit.umn.edu,128.101.122.108,rhel-x86_64-server-7,2017-03-22,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 1c 7a fc eb 59 d2-3c 0b 53 97 ec c0 f2 3f,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,50G,984,NA,42231c7afceb59d23c0b5397ecc0f23f,WBOB,VM,VM,VM,drupal site,Test,3,Hosting,GPS,dkeller@umn.edu,dkeller mwinters,No,no,oit-hosting,Jointly Managed
gps-lacblog-prd.oit.umn.edu,128.101.122.89,rhel-x86_64-server-7,2017-02-16,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 5d a2 65 98 34 4b-3e a5 32 13 3d 9c 35 f6,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,50G,985,NA,42235da26598344b3ea532133d9c35f6,WBOB,VM,VM,VM,drupal web server,Production,3,Hosting,GPS,dkeller@umn.edu,dkeller,No,No,oit-hosting,Jointly Managed
gps-lacblog-tst.oit.umn.edu,128.101.122.90,rhel-x86_64-server-7,2017-02-16,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 47 f7 10 55 1b dc-2c af 02 0c 61 ae 76 6c,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,50G,985,NA,422347f710551bdc2caf020c61ae766c,WBOB,VM,VM,VM,drupal test site,Test,3,Hosting,GPS,dkeller@umn.edu,dkeller,No,No,oit-hosting,Jointly Managed
gps-lac-dev.oit.umn.edu,128.101.122.118,rhel-x86_64-server-7,2017-04-12,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 d2 d6 a7 b8 37 f7-6b 48 b5 2c 57 b9 95 77,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,50G,984,NA,4223d2d6a7b837f76b48b52c57b99577,WBOB,VM,VM,VM,Drupal site,Development,3,Hosting,GPS,dkeller@umn.edu,dkeller mwinters,No,No,oit-hosting,Jointly Managed
gps-lac-prd.oit.umn.edu,128.101.122.120,rhel-x86_64-server-7,2017-04-12,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 20 d1 73 cc f7 07-b0 a3 91 34 5e c9 a3 cb,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,50G,1831,NA,422320d173ccf707b0a391345ec9a3cb,WBOB,VM,VM,VM,drupal site,Production,3,Hosting,GPS,dkeller@umn.edu,dkeller mwinters,No,No,oit-hosting,Jointly Managed
gps-lac-prd-web-02.oit.umn.edu,128.101.122.44,rhel-x86_64-server-7,2016-12-30,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 29 86 4e 13 74 d5-67 7c 55 62 a9 67 0f 28,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,50G,985,NA,422329864e1374d5677c5562a9670f28,WBOB,VM,VM,VM,Web app,Production,3,Hosting,GPS,dkeller@umn.edu,dkeller mwinters,No,No,oit-hosting,Jointly Managed
gps-lac-tst.oit.umn.edu,128.101.122.119,rhel-x86_64-server-7,2017-04-12,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 cf 5f 47 8f 8f 62-df ac b8 df dd 24 48 f2,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,50G,984,NA,4223cf5f478f8f62dfacb8dfdd2448f2,WBOB,VM,VM,VM,drupal site,Test,3,Hosting,GPS,dkeller@umn.edu,dkeller mwinters,No,No,oit-hosting,Jointly Managed
gps-mon-prd-01.oit.umn.edu,128.101.122.126,rhel-x86_64-server-7,2017-04-17,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 84 4b 19 85 6d 2f-ba 83 97 fd 70 93 50 f2,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,50G,1831,NA,4223844b19856d2fba8397fd709350f2,WBOB,VM,VM,VM,Grafana server,Production,3,Hosting,GPS,dkeller@umn.edu,dkeller mwinters,No,No,oit-hosting,Jointly Managed
gps-web-dev.oit.umn.edu,134.84.212.96,rhel-x86_64-server-7,2016-06-09,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 bc cb fe 89 9f f7-55 0b 5f e8 ad b4 30 48,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,50G,1840,NA,4223bccbfe899ff7550b5fe8adb43048,WBOB,VM,VM,VM,web app dev,Development,2,Hosting,GPS,dkeller@umn.edu,dkeller@umn.edu mwinters@umn.edu,No,Yes,NA,NA
grouper-dev.oit.umn.edu,134.84.231.230,rhel-x86_64-server-6,2012-09-26,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 d2 ad 44 9f fe 28-4a d4 a0 09 7d 4a d3 7d,NA,NA,NA,NA,Intel(R) Xeon(R) CPU           X6550  @ 2.00GHz,VM,3833,eth0-00:50:56:a3:1d:8d-134.84.231.230,4223d2ad449ffe284ad4a0097d4ad37d,WBOB,VM,VM,NA,Group management system,Development,2,Identity Management,OIT/OIA/Identity Management,idm@umn.edu,cab kor pmoore reeve011 hemme003,No,NA,NA,NA
grouper-p1.oit.umn.edu,134.84.231.106,rhel-x86_64-server-6,2015-05-14,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 61 8f 8e de 8b 20-c4 52 ea 13 7f 07 4d b2,NA,NA,NA,NA,Intel(R) Xeon(R) CPU           X6550  @ 2.00GHz,VM,3825,eth0-00:50:56:a3:64:d0-134.84.231.106,4223618f8ede8b20c452ea137f074db2,WBOB,VM,VM,NA,Group management system,Production,NA,Identity Management,OIT/OIA/Identity Management,idm@umn.edu,cab kor pmoore reeve011 hemme003 paulr,No,Yes,NA,NA
grouper-p2.oit.umn.edu,134.84.231.107,rhel-x86_64-server-6,2015-05-14,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 1d 67 da e0 01 13-e7 1f 68 8c 3a a3 c9 1b,NA,NA,NA,NA,Intel(R) Xeon(R) CPU           X6550  @ 2.00GHz,VM,3825,eth0-00:50:56:a3:6a:6b-134.84.231.107,42231d67dae00113e71f688c3aa3c91b,TelecomB,VM,VM,NA,Group management system,Development,NA,Identity Management,OIT/OIA/Identity Management,idm@umn.edu,cab kor pmoore reeve011 hemme003 paulr,No,Yes,NA,NA
grouper-t1.oit.umn.edu,134.84.192.90,rhel-x86_64-server-6,2013-06-27,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 93 9d 8f 27 65 98-26 31 bb a8 89 31 32 61,NA,NA,NA,NA,Intel(R) Xeon(R) CPU           X6550  @ 2.00GHz,10G,3954,eth0-00:50:56:a3:1d:53-134.84.192.90,4223939d8f2765982631bba889313261,TelecomB,VM,VM,VM,Web server for Grouper user interface,Test,3,Identity Management,OIT,idm@umn.edu,cab kor pmoore reeve011 hemme003,Yes,Yes,NA,NA
hellerh-sv-01.ggnet.umn.edu,128.101.101.89,rhel-x86_64-server-6,2012-03-12,Dell Inc.,PowerEdge R610 Not Specified,3V1JML1,201001479,2013-01-12,NA,2010-01-12,Intel(R) Xeon(R) CPU           E5520  @ 2.27GHz,73 300,7853,eth1-00:21:9b:9a:13:b6-128.101.101.89 eth2-00:21:9b:9a:13:b8-NA eth0-00:21:9b:9a:13:b4-192.168.245.109 eth3-00:21:9b:9a:13:ba-NA,NA,HellerH,01-201-0B-00080,NA,1U,core - dns anycast  ntp,Production,1,Data Network,OIT,doit-nts@umn.edu ssb@umn.edu peiffer@umn.edu,ssb@umn.edu peiffer@umn.edu,No,NA,NA,NA
hhh-civios-prd-files-01.oit.umn.edu,128.101.122.53,rhel-x86_64-server-7,2017-01-18,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 b0 1a d4 9b 67 10-18 e9 7b ea fe 52 13 c1,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,50G,1832,NA,4223b01ad49b671018e97beafe5213c1,WBOB,VM,VM,VM,Learning object repository storage,Production,3,Hosting,Other,dickx075@umn.edu,dickx075 jmehr  kconners,No,Yes,oit-hosting,Fully Managed
hhh-classinfo.oit.umn.edu,134.84.192.44,rhel-x86_64-server-6,2015-02-19,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 4f f2 7e 24 7c b6-d6 a5 af e0 a2 cd 11 27,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,50G,1998,eth0-00:50:56:a3:1b:ac-134.84.192.44,42234ff27e247cb6d6a5afe0a2cd1127,WBOB,VM,VM,VM,Web Server,Production,NA,Hosting,HHH ITS,hhhits@umn.edu,dickx075 jmehr,Yes,Yes,NA,NA
hhh-drupal.oit.umn.edu,192.168.53.35,rhel-x86_64-server-6,2015-11-23,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 bf 79 2e cb 12 2e-19 02 97 a9 7a 42 84 9d,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,80G,1990,eth0-00:50:56:a3:5f:ba-192.168.53.35,4223bf792ecb122e190297a97a42849d,WBOB,VM,VM,VM,Developing and testing Drupal sites for HHH,Development,NA,Hosting,HHH ITS,hhhits@umn.edu,dickx075 jmehr,Yes,Yes,NA,NA
hhh-it-admin.oit.umn.edu,192.168.53.123,rhel-x86_64-server-6,2015-01-21,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 ec 83 30 aa 17 5f-ae 9f f3 72 96 a3 9d 96,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,50G,1998,eth0-00:50:56:a3:50:72-192.168.53.123,4223ec8330aa175fae9ff37296a39d96,WBOB,VM,VM,VM,WEB,Production,NA,Hosting,HHH ITS,hhhits@umn.edu,dickx075 jmehr,Yes,Yes,NA,NA
hhh-scalar-prd.oit.umn.edu,134.84.212.117,rhel-x86_64-server-7,2016-08-29,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 3e 48 7c c0 18 c5-3e 0a 0c b6 ca 04 3d af,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,50G,7823,NA,42233e487cc018c53e0a0cb6ca043daf,WBOB,VM,VM,VM,Scalar app,Production,1,Hosting,HHH,dickx075@umn.edu,dickx075@umn.edu jmehr@umn.edu,No,Yes,NA,NA
hhh-step-srn.oit.umn.edu,134.84.192.171,rhel-x86_64-server-6,2015-06-03,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 d1 f7 7f 9a e0 9d-42 a1 fa d7 66 85 64 07,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,60G,1998,eth0-00:50:56:a3:3e:0f-134.84.192.171,4223d1f77f9ae09d42a1fad766856407,WBOB,VM,VM,VM,To host a Wordpress installation that will serve as a public-facing website for a major research project.,Production,NA,Hosting,HHH ITS,hhhits@umn.edu,dickx075 jmehr schn1121,Yes,Yes,NA,NA
hhh-web-p05.oit.umn.edu,134.84.231.204,rhel-x86_64-server-6,2012-08-27,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 c6 c9 97 f3 e4 c5-16 b8 e8 35 8c 9e 74 a5,NA,NA,NA,NA,Intel(R) Xeon(R) CPU           X6550  @ 2.00GHz,VM,1877,eth0-00:50:56:a3:1c:a6-134.84.231.204,4223c6c997f3e4c516b8e8358c9e74a5,WBOB,VM,VM,NA,Wordpress Server,Production,1,Hosting,HHH,compstaff@umn.edu,dickx075 jmehr,No,NA,NA,NA
hhh-web-t01.oit.umn.edu,134.84.192.25,rhel-x86_64-server-6,2013-10-08,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 ab 80 f1 07 69 66-bb 92 81 1a 22 94 67 e9,NA,NA,NA,NA,Intel(R) Xeon(R) CPU           E5530  @ 2.40GHz,50G,1998,eth0-00:50:56:a3:7b:c9-134.84.192.25,4223ab80f1076966bb92811a229467e9,WBOB,VM,VM,VM,A test web server for TEL projects,Test,3,Hosting,Humphrey School of Public Affairs,kconners jmehr mchanla,kconners jmehr mchanla,Yes,Yes,NA,NA
hhh-www-p06.oit.umn.edu,134.84.231.26,rhel-x86_64-server-6,2012-11-15,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 3f d1 cb d4 1d 87-e7 43 9c 1d 3f 56 4a 06,NA,NA,NA,NA,Intel(R) Xeon(R) CPU           X7560  @ 2.27GHz,26G,1877,eth0-00:50:56:a3:46:a9-134.84.231.26,42233fd1cbd41d87e7439c1d3f564a06,WBOB,VM,VM,VM,Web Server,Production,1,Hosting,HHH,hhhcstaf@umn.edu,mchanla jmehr,Yes,Yes,NA,NA
hhh-www-t06.oit.umn.edu,134.84.231.54,rhel-x86_64-server-6,2016-12-27,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 64 80 e0 d9 0d 35-54 66 df 15 86 95 25 aa,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,NA,1869,eth1-00:50:56:a3:5f:e4-134.84.231.54,42236480e0d90d355466df15869525aa,WBOB,NA,NA,NA,Web Server,Production,1,Hosting,HHH,hhhcstaf@umn.edu,mchanla jmehr,NA,Yes,NA,NA
hmh-sv-01.ggnet.umn.edu,128.101.101.149,rhel-x86_64-server-6,2012-03-12,Dell Inc.,PowerEdge R610 Not Specified,CT7QQL1,201002366,2013-04-15,NA,2010-04-15,Intel(R) Xeon(R) CPU           E5520  @ 2.27GHz,73 300,7854,eth2-00:21:9b:9e:19:e1-NA eth0-00:21:9b:9e:19:dd-192.168.245.181 eth3-00:21:9b:9e:19:e3-NA eth1-00:21:9b:9e:19:df-128.101.101.149,NA,HMH,01-250-LL-0L112,NA,1U,core - dns anycast  ntp,Production,1,Data Network,OIT,doit-nts@umn.edu ssb@umn.edu peiffer@umn.edu,ssb@umn.edu peiffer@umn.edu,No,NA,NA,NA
hmh-sv-02.ggnet.umn.edu,192.168.245.185,rhel-x86_64-server-6,2012-04-26,Dell Inc.,PowerEdge R610 Not Specified,CT4SQL1,201002389,2013-04-15,NA,2010-04-15,Intel(R) Xeon(R) CPU           E5520  @ 2.27GHz,73 300,7854,eth2-00:21:9b:9e:06:a7-NA eth0-00:21:9b:9e:06:a3-192.168.245.185 eth3-00:21:9b:9e:06:a9-NA eth1-00:21:9b:9e:06:a5-NA,NA,HMH,01-250-LL-0L112,NA,1U,flow  log,Production,1,Data Network,OIT,doit-nts@umn.edu ssb@umn.edu peiffer@umn.edu,ssb@umn.edu peiffer@umn.edu,No,NA,NA,NA
hrl-cmstest.oit.umn.edu,192.168.216.18,rhel-x86_64-server-6,2014-01-31,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 64 8f 17 6a f2 f5-64 16 27 db 4e f4 e3 5f,NA,NA,NA,NA,Intel(R) Xeon(R) CPU           X6550  @ 2.00GHz,90G,1869,eth0-00:50:56:a3:2f:06-192.168.216.18,4223648f176af2f5641627db4ef4e35f,WBOB,VM,VM,VM,Test server for Drupal -- both HRL and CES,Test,NA,Hosting,Housing and Residential Life,hfscs@umn.edu,cease003 white087 patt0244 phamx039 cdmeyer,Yes,Yes,NA,NA
hrl-housing.oit.umn.edu,134.84.231.229,rhel-x86_64-server-6,2012-09-21,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 3c 2f 87 3a 4a 4b-4c 16 4e 7f f9 0b 3f 48,NA,NA,NA,2012 Sept 24,Intel(R) Xeon(R) CPU           X6550  @ 2.00GHz,NA,1877,eth0-00:50:56:a3:1d:32-134.84.231.229,42233c2f873a4a4b4c164e7ff90b3f48,WBOB,NA,VM,NA,Web Server for On-Campus Housing ReApplication and Roommate Search.,Production,1,Hosting,Housing & Residential Life,hfscs@umn.edu,phamx039 cdmeyer,No,NA,NA,NA
hrl-ochlsdev.oit.umn.edu,192.168.53.13,rhel-x86_64-server-6,2013-02-13,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 55 08 85 2e e4 24-6a 6b 73 23 28 c7 8e 34,NA,NA,NA,NA,Intel(R) Xeon(R) CPU           X6550  @ 2.00GHz,80G,1873,eth0-00:50:56:a3:4a:fe-192.168.53.13,42235508852ee4246a6b732328c78e34,WBOB,VM,VM,VM,Development server for Off Campus Housing Listing Service web application,Development,3,Hosting,Housing & Residential Life,hfscs@umn.edu,phamx039@umn.edu patt0244@umn.edu white087@umn.edu cease003@umn.edu cdmeyer@umn.edu,Yes,Yes,NA,NA
hrl-svn.oit.umn.edu,192.168.53.107,rhel-x86_64-server-6,2011-08-01,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 30 5b 22 24 cc b4 6b-94 6c c8 54 f9 8a 63 d2,NA,NA,NA,NA,Intel(R) Xeon(R) CPU           X6550  @ 2.00GHz,VM,1877,eth0-00:50:56:b0:00:ba-192.168.53.107,42305b2224ccb46b946cc854f98a63d2,WBOB,VM,VM,NA,Source Version Control,Production,1,Hosting,Housing & Residential Life,hfscs@umn.edu,phamx039 cdneyer cease003 white087 froeh001,No,NA,NA,NA
hrl-webdev.oit.umn.edu,192.168.53.106,rhel-x86_64-server-6,2011-08-01,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 30 3b 53 94 f4 00 58-d3 04 31 72 b1 52 0b 58,NA,NA,NA,NA,Intel(R) Xeon(R) CPU           X6550  @ 2.00GHz,VM,1877,eth0-00:50:56:b0:00:b9-192.168.53.106,42303b5394f40058d3043172b1520b58,WBOB,VM,VM,NA,Web Application Development,Development,3,Hosting,Housing & Residential Life,hfscs@umn.edu,phamx039 cdmeyer cease003 white087 froeh001,No,NA,NA,NA
hrl-webprd.oit.umn.edu,134.84.231.138,rhel-x86_64-server-6,2012-01-09,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 30 f5 ac 1f 68 12 22-38 e6 69 8f 04 4a 25 7a,NA,NA,NA,NA,Intel(R) Xeon(R) CPU           X7560  @ 2.27GHz,VM,7873,eth0-00:50:56:b0:12:8d-134.84.231.138,4230f5ac1f68122238e6698f044a257a,WBOB,VM,VM,NA,Web Application Development,Production,1,Hosting,Housing & Residential Life,hfscs@umn.edu,phamx039 cdmeyer cease003 white087 froeh001 meyer077,No,NA,NA,NA
hrl-webtst.oit.umn.edu,134.84.192.65,rhel-x86_64-server-6,2013-05-08,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 70 11 67 fa cb 08-4b a7 9b 13 7c 9d 50 d5,NA,NA,NA,NA,Intel(R) Xeon(R) CPU           X6550  @ 2.00GHz,VM,7873,eth0-00:50:56:a3:6b:4f-134.84.192.65,4223701167facb084ba79b137c9d50d5,WBOB,VM,VM,NA,Web Application Development,Test,3,Hosting,Housing & Residential Life,hfscs@umn.edu,phamx039 cdmeyer cease003 white087 froeh001 meyer077,No,NA,NA,NA
ici-cache.oit.umn.edu,134.84.192.181,rhel-x86_64-server-6,2014-09-25,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 07 47 52 b4 d2 84-a3 ef fc ae 2d 38 a4 90,NA,NA,NA,NA,Intel(R) Xeon(R) CPU           X5550  @ 2.67GHz,80G,1998,eth0-00:50:56:a3:39:df-134.84.192.181,4223074752b4d284a3effcae2d38a490,WBOB,VM,VM,VM,Reverse http cache/ssl terminator,Production,NA,Hosting,Inst on Community Integration,jpwalz@umn.edu,jpwalz deanx032 weste050 lawl0035,Yes,Yes,NA,NA
ici-consensus-dev-db-01.oit.umn.edu,10.32.110.235,rhel-x86_64-server-7,2017-01-25,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 6b 36 2f 83 a0 9f-a4 23 14 77 93 01 dd 2d,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,50G,985,NA,42236b362f83a09fa42314779301dd2d,WBOB,VM,VM,VM,Custom web app (PPDM) CouchDB,Development,3,Hosting,ICI,jpwalz@umn.edu,jpwalz deanx032 weste050 lawl0035,No,No,oit-hosting,Jointly Managed
ici-consensus-dev-web-01.oit.umn.edu,10.32.110.234,rhel-x86_64-server-7,2017-01-25,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 ff 3f 40 4d 82 1f-6a f7 33 21 1a 80 5c 98,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,50G,985,NA,4223ff3f404d821f6af733211a805c98,WBOB,VM,VM,VM,Custom web app (PPDM) Web Server,Development,3,Hosting,ICI,jpwalz@umn.edu,jpwalz deanx032 weste050 lawl0035,No,No,oit-hosting,Jointly Managed
ici-consensus.oit.umn.edu,128.101.2.208,rhel-x86_64-server-6,2016-01-19,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 5a 3e d9 07 c8 65-73 1f 97 9d 7e 21 1d 3a,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,150G,3946,eth0-00:50:56:a3:6e:35-128.101.2.208,42235a3ed907c865731f979d7e211d3a,WBOB,VM,VM,VM,Web Application - apache2.4/nodejs/couchdb app,Production,NA,Hosting,ASR,iciwebteam@umn.edu,jpwalz deanx032 weste050 lawl0035,Yes,Yes,NA,NA
ici-db.oit.umn.edu,192.168.53.105,rhel-x86_64-server-6,2013-03-21,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 f7 74 a8 5a 7b e6-7c 76 b1 8d e1 21 20 aa,NA,NA,NA,NA,Intel(R) Xeon(R) CPU           X6550  @ 2.00GHz,153,3954,eth0-00:50:56:a3:18:78-192.168.53.105,4223f774a85a7be67c76b18de12120aa,WBOB,VM,VM,VM,Database server for ICI production websites,Production,1,Hosting,Institute on Community Integration,iciweb@umn.edu kbullock@umn.edu,deanx032@umn.edu weste050@umn.edu,Yes,Yes,NA,NA
